company,model_name,colour,operating_system,Processor,processor_company,ram/storage,delivery,price_in_Euro
HP,"ENVY 13-ba1565sa 13.3"" Laptop ",silver,Free Upgrade to Windows 11,Intel Core i7-1165G7 Processor,Intel,16/1000,yes,1299
ASUS,"VivoBook Flip ETP401MA 14"" 2 in 1 Laptop ",grey,Free Upgrade to Windows 11,Intel Celeron N4020 Processor,Intel,4/64,yes,399
DELL,"XPS 13 9310 13.4"" Laptop ",silver,Free Upgrade to Windows 11,Intel Evo platform,Intel,16/1000,yes,1849
MICROSOFT,"12.5"" Surface Laptop Go ",sandstone,Free Upgrade to Windows 11,Intel Core i5-1035G1 Processor,Intel,8/128,yes,739
ACER,"Spin 513 LTE 13.3"" 2 in 1 Chromebook ",blue,Chrome OS,Qualcomm SC7180 Processor,Qualcomm,8/128,yes,599
HP,"ENVY 15-ep1503na 15.6"" Laptop ",silver,Free Upgrade to Windows 11,Intel Core i7-11800H Processor,Intel,16/256,yes,1699
LENOVO,"IdeaPad 3i 17.3"" Laptop ",blue,Free Upgrade to Windows 11,Intel Pentium Gold 7505 Processor,Intel,4/128,yes,469
ACER,"715 15.6"" Chromebook",grey,Chrome OS,Intel Core i3-8130U Processor,Intel,8/128,yes,529
MICROSOFT,"10.5"" Surface Go 3 ",platinum,Windows 11,Intel Pentium Gold 6500Y Processor,Intel,8/128,yes,599
MICROSOFT,"13"" Surface Pro 8 ",graphite,Windows 11,Intel Core i5-1135G7 Processor,Intel,8/256,yes,1329
DELL,"XPS 15 9510 15.6"" Laptop ",silver,Free Upgrade to Windows 11,Intel Core i7-11800H Processor,Intel,16/1000,yes,2279
ACER,"317 17.3"" Chromebook ",silver,Chrome OS,Intel Celeron N4500 Processor,Intel,4/64,yes,419
HP,"Spectre x360 13-aw2501na 13.3"" 2 in 1 Laptop ",silver,Free Upgrade to Windows 11,Intel Core i7-1165G7 Processor,Intel,16/1000,yes,1949
SAMSUNG,"Galaxy Book Pro 15.6"" Laptop ",mystic silver,Free Upgrade to Windows 11,Intel Evo platform,Intel,8/256,yes,1439
ACER,"Swift 5 SF514-55T 14"" Laptop ",slate green,Free Upgrade to Windows 11,Intel Evo platform,Intel,8/256,yes,899
HP,"ProBook 430 G8 15.6"" Laptop ",silver,Windows 10 Pro,Intel Core i5-1035G1 Processor,Intel,8/256,yes,909.99
ACER,"Aspire 5 A514-54 14"" Laptop ",silver,Free Upgrade to Windows 11,Intel Core i3-1115G4 Processor,Intel,4/256,yes,539.99
LENOVO,"IdeaPad 3i 14"" Laptop ",blue,Free Upgrade to Windows 11,Intel Celeron 6305 Processor,Intel,4/128,yes,349
LENOVO,"IdeaPad Flex 3 11.6"" 2 in 1 Chromebook ",blue,Chrome OS,MediaTek MT8183 Processor,MediaTek,4/64,yes,319
LENOVO,"IdeaPad 3 15.6"" Laptop ",grey,Free Upgrade to Windows 11,AMD Ryzen 3 5300U Processor,AMD,4/128,yes,479
MICROSOFT,"13"" Surface Pro 8 ",graphite,Windows 11,Intel Core i7-1185G7 Processor,Intel,16/256,yes,1799
SAMSUNG,"Galaxy Book Pro 13.3"" Laptop ",mystic navy,Free Upgrade to Windows 11,Intel Evo platform,Intel,8/256,yes,1329
DELL,"XPS 13 13.4"" 2 in 1 Laptop ",silver,Free Upgrade to Windows 11,Intel Evo platform,Intel,16/256,yes,1659
LENOVO,"IdeaPad 5i 14"" Chromebook ",grey,Chrome OS,Intel Core i5-1135G7 Processor,Intel,8/256,yes,719
ACER,"Spin 713 13.5"" 2 in 1 Chromebook ",grey,Chrome OS,Intel Core i5-1135G7 Processor,Intel,8/256,yes,839
MICROSOFT,"13.5"" Surface Laptop 4 ",matte black,Free Upgrade to Windows 11,Intel Core i5-1135G7 Processor,Intel,8/256,yes,1499
ACER,"315 15.6"" Chromebook ",blue,Chrome OS,Intel Celeron N4020 Processor,Intel,4/64,yes,339
LENOVO,"IdeaPad 3i 15.6"" Chromebook ",grey,Chrome OS,Intel Pentium Silver N6000 processor,Intel,4/128,yes,369
DELL,"XPS 17 9710 17"" Laptop ",silver,Free Upgrade to Windows 11,Intel Core i7-11800H Processor,Intel,16/1000,yes,2709
HP,"Spectre x360 14-ea0519na 13.5"" 2 in 1 Laptop ",black,Free Upgrade to Windows 11,Intel Evo platform,Intel,8/256,yes,1439
MICROSOFT,"13.5"" Surface Laptop 4 ",matte black,Free Upgrade to Windows 11,Intel Core i7-1185G7 Processor,Intel,16/256,yes,1979
HP,"ENVY 15-ep1512na 15.6"" Laptop ",silver,Free Upgrade to Windows 11,Intel Core i9-11900H Processor,Intel,32/2000,yes,2899
ACER,"Aspire 5 A514-54 14"" Laptop ",silver,Free Upgrade to Windows 11,Intel Core i7-1165G7 Processor,Intel,8/1000,yes,979
SAMSUNG,"Galaxy Book LTE 15.6"" Laptop ",mystic silver,Free Upgrade to Windows 11,Intel Core i5-1135G7 Processor,Intel,8/256,yes,859
DELL,"Inspiron 14 5415 14"" Laptop ",silver,Windows 11,AMD Ryzen 5 5500U Processor,AMD,8/256,yes,719
HP,"x360 14c-cc0505sa 14"" 2 in 1 Chromebook ",silver,Chrome OS,Intel Core i5-1135G7 Processor,Intel,8/256,yes,829
HP,"x2 11-da0502na 11"" 2 in 1 Chromebook ",silver,Chrome OS,Qualcomm Snapdragon 7C Processor,Qualcomm,4/64,yes,599
ASUS,"VivoBook X515FA 15.6"" Laptop ",grey,Free Upgrade to Windows 11,Intel Core i3-1115G4 Processor,Intel,8/256,yes,629
LENOVO,"IdeaPad 5i 14"" Chromebook ",grey,Chrome OS,Intel Pentium Gold 7505 Processor,Intel,4/128,yes,479
LENOVO,"IdeaPad Flex 3 11.6"" 2 in 1 Chromebook ",grey,Chrome OS,MediaTek MT8183 Processor,MediaTek,4/64,yes,319
SAMSUNG,"Galaxy Book Pro 360 5G 13.3"" 2 in 1 Laptop ",mystic silver,Windows 11,Intel Core i5-1135G7 Processor,Intel,8/256,yes,1619
ASUS,"Zenbook Flip UX363EA 13.3"" 2 in 1 Laptop ",grey,Free Upgrade to Windows 11,Intel Evo platform,Intel,16/1000,yes,1559
MICROSOFT,"13.5"" Surface Laptop 4 ",platinum,Free Upgrade to Windows 11,AMD Ryzen 5 4680U Processor,AMD,8/256,yes,1149
MICROSOFT,"13.5"" Surface Laptop 4 ",sandstone,Free Upgrade to Windows 11,Intel Core i5-1135G7 Processor,Intel,8/256,yes,1499
HP,"ENVY 15-ep1504na 15.6"" Laptop ",silver,Free Upgrade to Windows 11,Intel Core i7-11800H Processor,Intel,16/256,yes,2049
